ACCION;BIEN;ESPACIO;CATEGORIZACION DEL BIEN ;CATEGORIZACION DEL  ESPACIO;TIPO DE ACCION;METODOLOGIA // VERIFICAR;FRECUENCIA S/PLIEGO;FRECUENCIA REQUERIDA;DURACION ESTIMADA;QTY. RECURSOS
Limpieza;Deposito de papeles y residuos;;Deposito de papeles y residuos;;Basica;Limpieza, lavado y desinfeccion del deposito y reemplazo de bolsas;semanal;;;
Limpieza;;Paredes;;;Basica;Desempolvar y lavar en toda su altura y según su terminacion superficial;semanal;;;
Limpieza;;Cielorrasos;;;Basica;Desempolvar, quitar telas de araña y según molduras, apliques o relieves requieran;semanal;;;
Limpieza;Bultos y mudanzas;;Bultos y mudanzas;;Basica;Cualquier tipo de traslado de bultos, muebles, materiales y según instrucciones de CTO;a demanda;;;
Limpieza;Residuos;;Residuos;;Basica;Colocado de bolsas en cesos según el tipo de residuos rojas (residuos humedos y comidas), verdes (residuos secos), negro (residuos solidos urbanos y sanitarios);diario;;;
Limpieza;Residuos;;Residuos;;Basica;Retiro de desechos en cestos y reposicino de bolsas apropiada;diaria;;;
Limpieza;Residuos;;Residuos;;Intermedia;Recoleccion de bolsas de residuos con carrito contenedor, para su posterior desecho en ascesor dispuesto a tal fin;diaria;;;
Limpieza;Residuos;;Residuos;;Profunda;Traslado de bolsas desde el lugar de deposito temporal hasta la parte posterior del camion de recoleccion y posterior aseo de areas afectadas por este traslado (ver Instructivo de CTO);diaria;;;
Fumigacion;;;;;Profunda;Desinfeccion con pulverizacion manual o mecanica ;semanal;;;
Fumigacion;;;;;Profunda;Desinfectacion, control de cucarachas y otros insectos  ;semanal;;;
Fumigacion;;;;;Profunda;Desinsectacion, control de pulgas y piojillos del papel;semanal;;;
Fumigacion;;;;;Profunda;Desratizacion, control de roedores;semanal;;;
Mantenimiento;Tanques;;Tanques de agua;;Profunda;Lavado y desinfeccino;semestral;;;
Mantenimiento;Tanques;;Tanques de agua;;Profunda;Llenado y purgado del sistema, conductos y bombas;semestral;;;
Mantenimiento;Tanques;;Tanques de agua;;Profunda;Limpieza y retiro del edificio de todos los elementos, materiales utilizados y desechos de los tanques;semestral;;;
Mantenimiento;Tanques;;Tanques de agua;;Profunda;Reemplazo o cambio en caso de ser necesario de valvulas, guarniciones de goma o cuero, dar aviso por cualquier otro desperfecto a la CTO;semestral;;;
